GameId,PlayerId,BackPostPass,BlockedShot,Goal,GoalAssist,OffTargetShot,OnTargetShot,PlayerOff,playerOn,SavedShot,SuccessfulDribbling,SuccessfulInterception,SuccessfulPass,SuccessfulTackle,UnsuccessfulDribbling,UnsuccessfulInterception,UnsuccessfulPass,UnsuccessfulTackle,PlayerAttackingScore,PlayerDefendingScore,PlayerTeamPlayScore,PlayerTotalScore
251,2,0,1,0,1,1,1,2,2,1,2,3,5,0,0,0,4,1,230,100,110,440
253,2,0,2,0,2,0,0,3,3,0,3,1,15,2,5,2,8,4,240,60,370,670
254,2,2,2,0,1,1,3,3,3,3,3,4,16,1,2,0,4,5,500,120,440,1060
239,2,1,1,1,1,1,2,3,3,1,5,7,12,6,5,0,7,0,510,640,290,1440
248,2,1,0,0,1,0,4,3,3,4,5,2,11,3,0,1,5,0,600,250,280,1130
237,2,0,0,2,1,0,8,3,3,6,10,4,11,4,1,5,11,1,1030,330,220,1580
245,2,1,3,3,0,2,7,3,3,4,4,5,13,2,0,2,4,1,780,280,350,1410
179,2,1,0,3,0,1,4,1,2,1,2,0,7,3,2,0,3,2,630,140,180,950
180,2,3,0,1,2,2,2,1,3,1,5,1,13,4,0,0,4,1,1070,260,350,1680
181,2,0,0,3,1,3,5,2,3,2,2,3,5,0,2,0,3,1,640,100,120,860
292,2,1,2,1,0,2,4,3,3,3,10,1,13,1,4,2,4,1,660,60,350,1070
182,2,0,0,5,0,0,8,3,3,3,4,2,8,2,2,0,2,1,950,180,220,1350
294,2,0,0,0,1,0,5,2,2,5,9,4,5,0,3,2,4,0,600,140,110,850
183,2,0,0,0,0,2,5,2,2,5,12,1,15,5,3,0,5,3,590,280,400,1270
184,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
185,2,0,0,0,0,3,2,2,2,2,6,0,6,3,4,0,5,1,190,160,130,480
190,2,0,1,1,0,1,3,1,2,2,3,1,15,0,0,2,9,0,310,20,360,690
191,2,0,2,5,1,2,5,3,4,0,7,2,4,1,5,0,3,1,1030,120,90,1240
192,2,1,0,2,2,0,3,1,2,1,10,3,10,2,4,0,2,2,1110,200,280,1590
193,2,0,1,1,0,1,1,2,2,0,6,2,10,5,4,0,6,1,300,360,240,900
